Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean,Image_Link,Property_Link
"Banting Harga!! Rumah Induk Dan Ruang Usaha Di Jual..5 Menit Saja Ke Kampus Uii, Upn, Amikom..sangat Strategis","Condong Catur, Sleman",54000000000,7,8,6,482,700,0.054238089,0.06122449,0.037234043,0.172413793,0.000400834,0.000597436,banting harga rumah induk ruang usaha jual 5 menit ke kampus uii upn amikom sangat strategis,condong catur sleman,istimewa lokasi sangat strategis rumah induk tempat usaha jual murah lho hanya,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/2023-08-04-13-57-58-fbf6c398-7f0a-48c3-a450-6bd9c8f7a33c.jpg,https://www.rumah123.com/properti/sleman/hos14414747/
"10 Menit Saja !! Ke Kampus Sanata Dharma, Tanahnya Luas Lho 204m, Carpot Bisa 4 Mobil","Maguwoharjo, Yogyakarta",900000000,4,2,4,204,100,0.000869377,0.030612245,0.005319149,0.103448276,0.000169167,8.46E-05,10 menit ke kampus sanata dharma tanah luas lho 204m carpot 4 mobil,maguwoharjo yogyakarta,istimewa jarang di jogja rumah tanah luas lho 204m harga 900 jt nego akses jalan,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/aa178bc1de7be1ef384f3bfcdee9f606.jpg,https://www.rumah123.com/properti/yogyakarta/hos18498251/
Rumah Mewah Premium 2 Lantai Dengan Kolam Renang Dalam Perumahan Merapi Regency Jalan Kaliurang Km 9 Dekat Ke Kampus Ugm,"Ngaglik, Sleman",49000000000,4,5,2,193,300,0.049212786,0.030612245,0.021276596,0.034482759,0.00016,0.000255556,rumah mewah premium 2 lantai kolam renang rumah rapi regency jalan kaliurang km 9 dekat kampus ugm,ngaglik sleman,rumah mewah premium 2 lantai kolam renang rumah rapi regency jalan kaliurang km,rumah premier full furnished dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/100e4c68150488116bcdf202a2bb6c0d.jpg,https://www.rumah123.com/properti/sleman/hos18376675/
15 menit saja ke kampus Sanata dharma..tanahnya luas dan pinggir jalan utama,"Purwomartani   , Sleman",540000000,2,1,1,136,80,0.000507556,0.010204082,0,0,0.0001125,6.75E-05,15 menit ke kampus sanata dharma tanah luas pinggir jalan utama,purwomartani sleman,istimewa murah banget rumah jogja tanah luas lho 136m harga 540 juta,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/2022-10-09-05-16-47-b7925300-108a-47b5-bef7-1242fd367cde.jpg,https://www.rumah123.com/properti/sleman/hos11368528/
"Rumah Asri Nyaman Baru Di Plembangan, Sukoharjo, Ngaglik, Sleman","Ngaglik, Sleman",750000000,3,2,1,125,90,0.000718618,0.020408163,0.005319149,0,0.000103333,7.61E-05,rumah asri nyaman baru plembangan sukoharjo ngaglik sleman,ngaglik sleman,jual rumah siap huni 100 baru rumah sangat stretegis daerah plembangan sukoharjo sleman,rumah premier siap huni bebas banjir dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2098639/844e295ed74643fcceeefc9cde433d7d.jpg,https://www.rumah123.com/properti/sleman/hos18667469/
"Rumah Bagus Di Jl. Gandu, Berbah, Sleman Lahan Luas Parkir 4 Mobil","Berbah, Sleman",1.15E+11,3,1,4,295,110,0.115546778,0.020408163,0,0.103448276,0.000245,9.32E-05,rumah bagus jl gandu bah sleman lahan luas parkir 4 mobil,bah sleman,jual rumah bu rumah tinggal jl gandu barat sd muh gandu bah sleman yogyakarta spek rumah,rumah premier dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2098639/d8af7b6f353a4688ef409e43cb8a3834.jpg,https://www.rumah123.com/properti/sleman/hos18667461/
Perumahan Premium Hi Quality Dengan Privat Pool Di Gamping Sleman,"Gamping, Sleman",2.96E+11,4,4,2,110,154,0.297462725,0.030612245,0.015957447,0.034482759,9.08E-05,0.000130769,rumah premium hi quality privat pool gamping sleman,gamping sleman,maghnet kawasan dekat jalan nasional dekat rs pku dekat kampus,rumah premier siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/831061/4d8a9bdbfedec7655cd34b040e352ac5.jpg,https://www.rumah123.com/properti/sleman/hos18667436/
Banting Harga Rumah Hook Full Furnish 1 Lantai,"Maguwoharjo, Yogyakarta",1.75E+11,3,3,1,216,145,0.175850407,0.020408163,0.010638298,0,0.000179167,0.000123077,banting harga rumah hook full furnish 1 lantai,maguwoharjo yogyakarta,rumah modern hook full furnish jogja utara dekat maguwoharjo spesifikasi lt 216 m2 lb,rumah premier full furnished dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1630475/2b00e71c892d5fff50adbcced89261b3.jpg,https://www.rumah123.com/properti/yogyakarta/hos18667077/
Rumah Murah Banget Hook Dalam Perumahan Citra Ringin Mas Di Purwomartani Kalasan Sleman Dekat Ringin Purwomartani,"Purwomartani   , Sleman",550000000,2,1,1,124,60,0.000517606,0.010204082,0,0,0.0001025,5.04E-05,rumah murah banget hook rumah citra ringin mas purwomartani kalas sleman dekat ringin purwomartani,purwomartani sleman,rumah murah banget hook rumah purwomartani kalas sleman akses mudah harga 550 juta,rumah premier dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/945d7005a9a3af319749c74fa4ca28fa.jpg,https://www.rumah123.com/properti/sleman/hos18664905/
Turun Harga Rumah Furnished Jalan Kaliurang Km 13 Bangunan Baru,"Sleman, Sleman",1.45E+11,3,2,2,121,100,0.145698592,0.020408163,0.005319149,0.034482759,0.0001,8.46E-05,turun harga rumah furnished jalan kaliurang km 13 bangun baru,sleman sleman,turun harga rumah baru full furnished hook industrialis modern dekat uii 01t spesifikasi luas,rumah premier full furnished dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1908177/667a7d4903a274214d52b97420376182.jpg,https://www.rumah123.com/properti/sleman/hos18664830/
